Year,10th Marks,12th Marks,12th Division,Rank,College
2017,88,85,2,222,APEX GROUP OF INSTITUTIONS
2017,85,81,5,1757,B M GROUP OF INSTITUTIONS
2017,75,89,8,515,Bawa N.S. JANTA Institute of Management & Technology
2017,89,88,3,2456,Bells Institute of Management & Technology Group of Institutions
2017,86,93,1,3012,BKN Institute of Management & Technology
2017,75,89,1,3564,CBS Group Of Institutions
2017,86,88,7,5612,Deen Dayal Rustagi College Of Management And Technology
2017,83,91,9,9865,Deep Institute of Engineering & Technology & Group Institutions
2017,75,86,6,100,Deep Institute of Engineering & Technology & Group Institutions
2017,86,89,3,192,E - Max Group of Institutions
2017,74,89,6,985,GYAYAK COLLEGE OF MANAGEMENT
2017,86,91,5,3965,Iqbal Memorial Trust's Group of Institutions(Iqbal Institute of Technology and Management 'IITM')
2017,91,92,1,3154,JAIPUR INSTITUTE OF TECHNOLOGY- GROUP OF INSTITUTIONS
2017,89,87,1,4565,Keystone Group of Institutions
2017,94,81,1,3256,Kings Group of Institutions
2017,91,89,1,3567,Laxmi Devi Institute of Management and Technology
2017,91,85,6,8456,Ludhiana Group of Colleges
2017,87,93,1,758,M.L.B. Institute of Management & Technology
2017,94,89,4,4700,MAHARISHI MARKENDESHWAR GROUP OF INSTITUTIONS
2017,89,92,6,600,Periyar Management and Computer College
2017,88,93,1,2430,Rajasthan Vidyapeeth Vijay Singh Pathik Shramjeevee College of Management
2017,93,86,4,2131,Rayat Bahra Group of Institutions
2017,89,89,5,45,SCHOOL OF MANAGEMENT & RESEARCH
2017,88,89,6,600,SECT GROUP OF INSTITUTES
2017,94,86,8,3986,Srinagar School of Management and Technology
2017,84,76,1,2888,St. Soldier Group of Institutions
2017,86,94,4,4501,ST. WILFRED'S SCHOOL OF MANAGEMENT
2017,81,84,5,4719,Sunrise Group Of Institution
2017,91,83,1,56,SURENDERA GROUP OF INSTITUTIONS
2017,89,86,1,3956,PLATINUM COLLEGE OF MANAGEMENT
2017,88,82,5,4125,VJKM Institute of Management and Computer Studies
2017,93,82,4,2564,SAL INSTITUTE OF MANAGEMENT
2017,89,83,4,2865,"J.H.Patel College of Management & Technology,Proposed MBA Program"
2017,92,94,8,2015,Smt. Saralaben Vasantbhai Malaviya School of Management
2017,86,94,3,3425,PARAM Institute of Management & Research
