Year,10th Marks,12th Marks,12th Division,Rank,College
2017,91,87,2,3016,RKDF COLLEGE OF PHARMACY
2017,84,85,6,2851,"NAGAJI INSTITUTE OF PHARMACEUTICAL SCIENCE, GWALIOR"
2017,86,88,1,2351,"SCHOOL OF PHARMACY,CHOUKSEY ENGINEERING COLLEGE"
2017,89,94,5,3215,SRI JAYADEV COLLEGE OF PHARMACEUTICAL  SCIENCES
2017,88,82,6,4562,SMT. B.N.B SWAMINARAYAN PHARMACY COLLEGE
2017,89,94,5,3215,"VIDYABHARTI TRUST COLLEGE OF PHARMACY,UMRAKH"
2017,88,82,6,4562,SIGMA INSTITUTE OF PHARMACY
2017,91,91,1,7652,"INSTITUTE OF PHARMACY, JALPAIGURI"
2017,87,91,8,255,DR. B. C. ROY COLLEGE OF PHARMACY AND ALLIED HEALTH SCIENCES
2017,86,88,1,2351,MAULI COLLEGE OF PHARMACY(B.PHARM)
2017,89,94,5,3215,J. K. COLLEGE OF PHARMACY
2017,88,82,6,4562,"ROFEL G.M. BILAKHIA COLLEGE OF PHARMACY, VAPI"
2017,89,94,5,3215,"SUN INSTITUTE OF PHARMACEUTICAL EDUCATION & RESEARCH (SIPER), LAHAR"
2017,88,82,6,4562,GAYATRI COLLEGE OF PHARMACY
2017,75,89,8,515,BCDA COLLEGE OF PHARMACY & TECHNOLOGY
2017,89,88,3,2456,SMT. KISHORITAI BHOYAR COLLEGE OF PHARMACY
2017,86,93,1,3012,PADMASHRI DR.VITHALRAO VIKHE PATIL FOUNDATION'S COLLEGE OF PHARMACY
2017,75,89,1,3564,C. K. PITHAWALLA INSTITUTE OF PHARMACEUTICAL SCIENCE & RESEARCH
2017,86,88,7,5612,A-ONE PHARMACY COLLEGE
2017,88,82,6,4562,ATMIYA INSTITUTE OF PHARMACY
2017,91,91,1,7652,SAL INSTITUTE OF PHARMACY
2017,84,92,3,9856,"SHRI RAM GROUP OF INSTITUTIONS (FACULTY OF ENGINEERING, PHARMACY, MCA, MBA) JABALPUR (M.P.)"
2017,87,91,8,255,JEYPORE COLLEGE OF PHARMACY
2017,88,82,6,4562,SANKAR REDDY INSTITUTE OF PHARMACEUTICAL SCIENCES
2017,89,94,5,3215,K.B.INTITUTE OF PHARMACEUTICAL EDUCTION AND RESEARCH
2017,88,82,6,4562,SHANKERSINH VAGHELA BAPU TECHNICAL CAMPUS
2017,75,89,8,515,BHAGWAN MAHAVIR COLLEGE OF PHARMACY
2017,89,88,3,2456,PARUL INSTITUTE OF PHARMACY AND RESEARCH
2017,86,93,1,3012,SMT. S.M.SHAH PHARMACY COLLEGE
2017,89,94,5,3215,PARUL INSTITUTE OF PHARMACY
2017,94,86,8,3986,RADHARAMAN COLLEGE OF PHARMACY
2017,84,76,1,2888,TRUBA INSTITUE OF PHARMACY
2017,86,94,4,4501,VEDICA COLLEGE OF B. PHARMACY
2017,81,84,5,4719,DAKSH INSTITUTE OF PHARMACEUTICAL SCIENCE
2017,91,83,1,56,BHABAHA PHARMACY RESEARCH INSTITUTE
2017,89,86,1,3956,ACROPOLIS INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH
2017,88,82,5,4125,"SAGAR INSTITUTE OF RESEARCH, TECHNOLOGY AND SCIENCE- PHARMACY"
2017,93,82,4,2564,SRI SATYA SAI COLLEGE OF PHARMACY
2017,89,83,4,2865,RADHARAMAN INSTITUTE OF PHARMACEUTICAL SCIENCES
2017,92,94,8,2015,RAJEEV GANDHI COLLEGE OF PHARMACY
2017,86,94,3,3425,"DR. SHRI R.M.S. INSTITUTE OF SCIENCE & TECHNOLOGY, COLLEGE OF PHARMACY"
2017,89,93,4,1926,SAGAR INSTITUTE OF RESEARCH AND TECHNOLOGY-PHARMACY
2017,88,93,3,1564,SAGAR INSTITUTE OF PHARMACY & TECHNOLOGY (SIPTEC)
2017,91,87,2,3016,MITTAL INSTITUTE OF PHARMACY
2017,84,85,6,2851,BHOPAL INSTITUTE OF TECHNOLOGY & SCIENCE - PHARMACY
2017,86,88,1,2351,"RISHIRAJ COLLEGE OF PHARMACY, INDORE"
2017,89,94,5,3215,B. R. NAHATA COLLEGE OF PHARMACY
2017,88,82,6,4562,"REWA COLLEGE OF PHARMACY, REWA (M.P.)"
2017,91,91,1,7652,BANSAL COLLEGE OF PHARMACY
2017,84,92,3,9856,NUTANBAN MANSUKHBHAI TURAKHIA GUJARATI COLLEGE OF PHARMACY
2017,87,91,8,255,ROYAL INSTITUTE OF MANAGEMENT AND ADVANCED STUDIES
2017,85,81,5,1757,GURUKUL INSTITUTE OF PHARMACEUTICAL SCIENCE & RESEARCH
2017,75,89,8,515,DEPARTMENT OF PHARMACY
2017,89,88,3,2456,PEOPLE'S INSTITUTE OF PHARMACY & RESEARCH CENTRE
2017,86,93,1,3012,GLOBUS COLLEGE OF PHARMACY
2017,75,89,1,3564,SMRITI COLLEGE OF PHARMACEUTICAL EDUCATION
2017,86,88,7,5612,MALHOTRA COLLEGE
2017,88,82,6,4562,SHRI RAM INSTITUTE OF PHARMACY JABALPUR
2017,91,91,1,7652,SHRI BHERULAL PHARMACY INSTITUTE
2017,84,92,3,9856,SRI SATYA SAI SCHOOL OF PHARMACY
2017,87,91,8,255,RKDF SCHOOL OF PHARMACEUTICAL SCIENCE
2017,85,81,5,1757,NRI INSTITUTE OF PHARMACEUTICAL SCIENCES
2017,75,89,8,515,BHAGYODAY TIRTH PHARMACY COLLEGE
2017,91,87,2,3016,"DEPARTMENT OF PHARMACEUTICAL SCIENCES, DIBRUGARH UNIVERSITY"
2017,84,85,6,2851,GIRIJANANDA CHOWDHURY INSTITUTE OF PHARMACEUTICAL SCIENCE
2017,86,88,1,2351,DOWN TOWN GROUP OF INSTITUTIONS
2017,89,94,5,3215,"COLLEGE OF PHARMACEUTICAL SCIENCES,PURI"
2017,88,82,6,4562,INDIRA GANDHI INSTITUTE OF PHARMACEUTICAL SCIENCES
2017,89,94,5,3215,DADHICHI COLLEGE OF PHARMACY
2017,88,82,6,4562,"IMT PHARMACY COLLEGE, PURI"
2017,91,91,1,7652,HIMALAYAN PHARMACY INSTITUTE
2017,87,91,8,255,BENGAL SCHOOL OF TECHNOLOGY
2017,86,88,1,2351,"NSHM KNOWLEDGE CAMPUS, KOLKATA - GROUP OF INSTITUIONS"
2017,89,94,5,3215,FACULTY OF PHARMACY
2017,88,82,6,4562,BIHAR COLLEGE OF PHARMACY
2017,89,94,5,3215,NIMRA COLLEGE OF PHARMACY
2017,88,82,6,4562,G PULLA REDDY COLLEGE OF PHARMACY
2017,75,89,8,515,NIZAM INSTITUTE OF PHARMACY
2017,89,88,3,2456,SULTAN-UL-ULOOM COLLEGE OF PHARMACY
2017,86,93,1,3012,"SCHOOL OF PHARMACEUTICAL SCIENCES, VELS UNIVERSITY(VISTAS), (ESTD.U/S 3 OF THE UGC ACT, 1956)"
2017,75,89,1,3564,PSG COLLEGE OF PHARMACY
2017,86,88,7,5612,PGP COLLEGE OF PHARMACEUTICAL SCIENCE AND RESEARCH INSTITUTE
2017,88,82,6,4562,KMCH COLLEGE OF PHARMACY
2017,91,91,1,7652,KARPAGAM COLLEGE OF PHARMACY
2017,84,92,3,9856,PALLAVAN PHARMACY COLLEGE
2017,87,91,8,255,K. M. COLLEGE OF PHARMACY
2017,88,82,6,4562,SRI RAMAKRISHNA INSTITUTE OF PARAMEDICAL SCIENCES
2017,89,94,5,3215,JSS COLLEGE OF PHARMACY
2017,88,82,6,4562,J.K.K.NATTRAJA COLLEGE OF PHARMACY
2017,75,89,8,515,SSM COLLEGE OF PHARMACY
2017,89,88,3,2456,SRI RAMACHANDRA COLLEGE OF PHARMACY
2017,86,93,1,3012,PERIYAR COLLEGE OF PHARMACEUITCAL SCIENCES
2017,86,88,7,5612,SURYA GROUP OF INSTITUTIONS
2017,88,82,6,4562,JKK MUNIRAJAH MEDICAL RESEARCH FOUNDATION AJKKSA COLLEGE OF PHARMACY
2017,91,91,1,7652,SWAMY VIVEKANANDHA COLLGE OF PHARMACY
2017,84,92,3,9856,K K COLLEGE OF PHARMACY
2017,87,91,8,255,VINYAKA MISSION'S COLLEGE OF PHARMACY
2017,85,81,5,1757,S.A.RAJA PHARMACY COLLEGE
2017,88,82,6,4562,ADHIPARASAKTHI COLLEGE OF PHARMACY
2017,89,94,5,3215,VISVESWARAPURA INSTITUTE OF PHARMACEUTICAL SCIENCES
2017,88,82,6,4562,"NATIONAL COLLEGE OF PHARMACY, SHIMOGA"
2017,75,89,8,515,SJM COLLEGE OF PHARMACY
2017,89,88,3,2456,BAPUJI PHARMACY COLLEGE
2017,86,93,1,3012,HANAGAL SHRI KUMARESHWAR COLLEGE OF PHARMACY
2017,86,88,7,5612,"H.K.E.S S MATOSHREE TARADEVI RAMPURE INSTITUTE OF PHARMACEUTICAL SCIENCES, GULBARGA, KARNATAKA"
2017,88,82,6,4562,"KLES COLLEGE OF PHARMACY,HUBLI"
2017,91,91,1,7652,KLE COLLEGE OF PHARMACY
2017,84,92,3,9856,SREE SIDDAGANGA COLLEGE OF PHARMACY
2017,87,91,8,255,RAJIV MEMORIAL EDUCATION SOCIETY'S COLLEGE OF PHARMACY
2017,85,81,5,1757,"RANI CHENNAMMA COLLEGE OF PHARMACY,BELGAUM."
2017,88,82,6,4562,SARADA VILAS COLLEGE OF PHARMACY SARADA VILAS EDUCATIONAL INSTITUTIONS
2017,91,91,1,7652,SRI ADICHUNCHANAGIRI COLLEGE OF PHARMACY
2017,84,92,3,9856,RRK SAMITHI'S COLLEGE OF PHARMACY
2017,87,91,8,255,"KLE COLLEGE OF PHARMACY, BELGAUM."
2017,85,81,5,1757,BHARATHI COLLEGE OF PHARMACY
2018,91,80,6,260,"FAROOQIA COLLEGE OF PHARMACY, MYSORE"
2018,80,89,6,854,"BLDEA'S COLLEGE OF PHARMACY, BIJAPUR"
2018,86,87,8,1232,JSS COLLEGE OF PHARMACY
2018,85,88,6,3201,MARATHA MANDAL'S  COLLEGE OF PHARMACY
2018,94,93,1,2215,ST JAMES COLLEGE OF PHARMACEUTICAL SCIENCES
2018,84,91,5,2956,"DEPARTMENT OF PHARMACEUTICAL SCIENCES, REGIONAL INSTITUTE OF MEDICAL SCIENCES AND RESEARCH"
2018,94,86,5,3965,KARUNA COLLEGE OF PHARMACY
2018,76,81,5,3562,SANJO COLLEGE OF PHARMACEUTICAL STUDIES
2018,81,89,4,4512,MOUNT ZION COLLEGE OF PHARMACEUTICAL SCIENCES & RESEARCH
2018,84,92,2,5123,JDT ISLAM COLLEGE OF PHARMACY
2018,82,94,6,6845,PRIME COLLEGE OF PHARMACY
2018,94,84,8,54,MALIK DEENAR COLLEGE OF PHARMACY
2018,82,85,8,652,SREEKRISHNA COLLEGE OF PHARMACY AND RESEARCH CENTRE
2018,85,95,2,4125,CHEMISTS COLLEGE OF PHARMACEUTICAL SCIENCES AND RESEARCH
2018,75,89,1,4568,"CRESCENT COLLEGE OF PHARMACEUTICAL SCIENCES,"
2018,85,91,3,2854,"ACADEMY OF PHARMACEUTICAL SCIENCES, PARIYARAM"
2018,95,91,1,4125,EZHUTHACHAN COLLEGE OF PHARMACEUTICAL SCIENCES
2018,91,84,9,5421,K.T.N COLLEGE OF PHARMACY
2018,93,89,6,4521,DEVAKI AMMA MEMORIAL COLLEGE OF PHARMACY
2018,88,85,1,5625,DR.JOSEPH MAR THOMA INSTITUTE OF PHARMACEUTICAL SCIENCES AND RESEARCH
2018,93,88,9,7568,COLLEGE OF PHARMACEUTICAL SCIENCES
2018,89,85,3,3726,COLLEGE OF PHARMACY-KANNUR MEDICAL COLLEGE
2018,88,81,6,4320,PUSHPAGIRI COLLEGE OF PHARMACY
2018,82,88,1,2213,MAR DIOSCORUS COLLEGE OF PHARMACY
2018,93,91,2,2356,GRACE COLLEGE OF PHARMACY
2018,91,91,3,2756,KMCT COLLEGE OF PHARMACEUTICAL SCIENCES
2018,86,81,5,3465,SSR COLLEGE OF PHARMACY
